antecedents_name,consequents_name,support,confidence,lift
Bag of Organic Bananas,Organic Raspberries,0.0166984126984127,0.11292400171747531,2.0419667359933826
Organic Raspberries,Bag of Organic Bananas,0.0166984126984127,0.3019517795637199,2.0419667359933826
Organic Hass Avocado,Bag of Organic Bananas,0.02615873015873016,0.3007299270072993,2.033703885944596
Bag of Organic Bananas,Organic Hass Avocado,0.02615873015873016,0.1768999570631172,2.0337038859445955
Organic Hass Avocado,Organic Strawberries,0.01815873015873016,0.20875912408759126,1.9536281665951054
Organic Strawberries,Organic Hass Avocado,0.01815873015873016,0.16993464052287582,1.9536281665951052
Banana,Strawberries,0.01873015873015873,0.09813705921490351,1.6460688845950269
Strawberries,Banana,0.01873015873015873,0.31416400425985086,1.6460688845950269
Bag of Organic Bananas,Organic Strawberries,0.025142857142857144,0.1700300558179476,1.5911903619326648
Organic Strawberries,Bag of Organic Bananas,0.025142857142857144,0.23529411764705882,1.5911903619326648
Organic Baby Spinach,Organic Strawberries,0.015809523809523808,0.16095669036845506,1.5062791879400874
Organic Strawberries,Organic Baby Spinach,0.015809523809523808,0.1479500891265597,1.5062791879400872
Banana,Organic Avocado,0.01961904761904762,0.1027944111776447,1.5004744912399484
Organic Avocado,Banana,0.01961904761904762,0.2863762743280816,1.5004744912399484
