Fecha,Cliente,Region,ProductoID,Producto,Cantidad,PrecioUnitario,Revenue,Cantidad_scaled,PrecioUnitario_scaled,Revenue_Bracket,Order_Size,Revenue_log,Year,Month,Quarter,DayOfWeek,Is_Weekend,Revenue_per_Unit,Region_Norte,Region_Sur,Prod_Audífonos,Prod_Cámaras Web,Prod_Impresoras,Prod_Laptops,Prod_Monitores,Prod_Ratones,Prod_Teclados
2024-10-16,DataCenter,Norte,LAP-001,Laptops,12,340.91,4090.92,0.9539508697077435,-0.7737391586623502,Medium,Large,8.316769576538276,2024,10,4,2,0,340.91,True,False,False,False,False,True,False,False,False
2023-08-17,InnovaCorp,Centro,MON-002,Monitores,11,892.69,9819.59,0.7271437204667204,0.856759923864817,High,Large,9.192236481010088,2023,8,3,3,0,892.69,False,False,False,False,False,False,True,False,False
2024-07-12,DataCenter,Norte,WEB-007,Cámaras Web,1,50.31,50.31,-1.5409277719435113,-1.6324564615410244,Low,Small,3.9378856649538734,2024,7,3,4,0,50.31,True,False,False,True,False,False,False,False,False
2023-08-12,SolucionesYA,Centro,LAP-001,Laptops,9,250.62,2255.58,0.273529421984674,-1.0405443385553836,Medium,Medium,7.721605671773995,2023,8,3,5,1,250.62,False,False,False,False,False,True,False,False,False
2024-10-27,BetaTech,Norte,MOU-004,Ratones,8,713.28,5706.24,0.046722272743650865,0.32660689114126923,Medium,Medium,8.649490823270844,2024,10,4,6,1,713.28,True,False,False,False,False,False,False,True,False
2023-01-07,InnovaCorp,Centro,WEB-007,Cámaras Web,6,344.28,2065.68,-0.40689202573839545,-0.7637808747301372,Low,Medium,7.633698733957165,2023,1,1,5,1,344.28,False,False,False,True,False,False,False,False,False
2023-08-09,AlphaSys,Sur,MON-002,Monitores,2,465.21,930.42,-1.3141206227024882,-0.4064350955246381,Low,Small,6.836710303369054,2023,8,3,2,0,465.21,False,True,False,False,False,False,True,False,False
2024-01-03,AlphaSys,Sur,AUD-005,Audífonos,13,66.49,864.3699999999999,1.1807580189487668,-1.58464487874482,Low,Large,6.763157161139522,2024,1,1,2,0,66.49,False,True,True,False,False,False,False,False,False
2024-04-15,DataCenter,Norte,WEB-007,Cámaras Web,2,669.17,1338.34,-1.3141206227024882,0.19626270590390404,Low,Small,7.199932234295178,2024,4,2,0,0,669.17,True,False,False,True,False,False,False,False,False
2024-10-05,AlphaSys,Sur,MOU-004,Ratones,12,97.42,1169.04,0.9539508697077435,-1.4932473351177127,Low,Large,7.064793215241592,2024,10,4,5,1,97.42,False,True,False,False,False,False,False,True,False
2024-11-08,SolucionesYA,Centro,AUD-005,Audífonos,2,1028.55,2057.1,-1.3141206227024882,1.2582235603723757,Low,Small,7.629538506078414,2024,11,4,4,0,1028.55,False,False,True,False,False,False,False,False,False
2023-04-14,BetaTech,Norte,AUD-005,Audífonos,8,768.29,6146.32,0.046722272743650865,0.4891603626875729,High,Medium,8.723771493466472,2023,4,2,4,0,768.29,True,False,True,False,False,False,False,False,False
2024-01-09,InnovaCorp,Centro,IMP-006,Impresoras,6,263.27,1579.62,-0.40689202573839545,-1.003163836554643,Low,Medium,7.365572454113572,2024,1,1,1,0,263.27,False,False,False,False,True,False,False,False,False
2023-10-01,DataCenter,Norte,TEC-003,Teclados,9,879.02,7911.18,0.273529421984674,0.8163653418608544,High,Medium,8.976158623296545,2023,10,4,6,1,879.02,True,False,False,False,False,False,False,False,True
2023-06-17,GammaRed,Centro,WEB-007,Cámaras Web,5,1187.59,5937.95,-0.6336991749794186,1.728183642443347,High,Medium,8.689287629054675,2023,6,2,5,1,1187.59,False,False,False,True,False,False,False,False,False
2024-10-17,SolucionesYA,Centro,IMP-006,Impresoras,14,925.45,12956.300000000001,1.4075651681897898,0.9535650816153516,High,Large,9.46941461486853,2024,10,4,3,0,925.45,False,False,False,False,True,False,False,False,False
2023-02-27,SolucionesYA,Centro,LAP-001,Laptops,13,388.81,5054.53,1.1807580189487668,-0.6321955977267395,Medium,Large,8.528237972644991,2023,2,1,0,0,388.81,False,False,False,False,False,True,False,False,False
2023-10-02,DataCenter,Norte,MOU-004,Ratones,15,1132.35,16985.25,1.634372317430813,1.564950525406121,High,Large,9.740159472234707,2023,10,4,0,0,1132.35,True,False,False,False,False,False,False,True,False
2023-11-19,SolucionesYA,Centro,ALM-008,Almacenamiento,7,1063.35,7443.449999999999,-0.1800848764973723,1.3610568781293537,High,Medium,8.915224067305262,2023,11,4,6,1,1063.35,False,False,False,False,False,False,False,False,False
2024-10-20,GammaRed,Centro,TEC-003,Teclados,5,180.46,902.3000000000001,-0.6336991749794186,-1.2478657630907164,Low,Medium,6.806054724155798,2024,10,4,6,1,180.46,False,False,False,False,False,False,False,False,True
2024-07-28,MegaStore,Sur,WEB-007,Cámaras Web,15,706.49,10597.35,1.634372317430813,0.3065425742570773,High,Large,9.268453607606466,2024,7,3,6,1,706.49,False,True,False,True,False,False,False,False,False
2024-01-06,SolucionesYA,Centro,TEC-003,Teclados,9,599.82,5398.38,0.273529421984674,-0.008665184511223155,Medium,Medium,8.594039411145825,2024,1,1,5,1,599.82,False,False,False,False,False,False,False,False,True
2023-02-18,DataCenter,Norte,TEC-003,Teclados,11,204.58,2250.38,0.7271437204667204,-1.1765916359557074,Medium,Large,7.719298640519782,2023,2,1,5,1,204.58,True,False,False,False,False,False,False,False,True
2024-11-27,BetaTech,Norte,MON-002,Monitores,7,467.22,3270.54,-0.1800848764973723,-0.4004955849300538,Medium,Medium,8.093016101042322,2024,11,4,2,0,467.21999999999997,True,False,False,False,False,False,True,False,False
2024-04-24,MegaStore,Sur,LAP-001,Laptops,11,869.06,9559.66,0.7271437204667204,0.7869337371235122,High,Large,9.165412041319362,2024,4,2,2,0,869.06,False,True,False,False,False,True,False,False,False
2024-11-29,MegaStore,Sur,IMP-006,Impresoras,2,362.8,725.6,-1.3141206227024882,-0.7090546378088947,Low,Small,6.588376119787101,2024,11,4,4,0,362.8,False,True,False,False,True,False,False,False,False
2023-06-11,GammaRed,Centro,LAP-001,Laptops,12,1052.89,12634.68,0.9539508697077435,1.3301477831943544,High,Large,9.444279837131537,2023,6,2,6,1,1052.89,False,False,False,False,False,True,False,False,False
2023-09-27,InnovaCorp,Centro,MON-002,Monitores,14,755.98,10583.720000000001,1.4075651681897898,0.4527845540212397,High,Large,9.26716673069193,2023,9,3,2,0,755.9800000000001,False,False,False,False,False,False,True,False,False
2024-10-16,SolucionesYA,Centro,TEC-003,Teclados,6,918.58,5511.4800000000005,-0.40689202573839545,0.9332643662995344,Medium,Medium,8.614769891630607,2024,10,4,2,0,918.58,False,False,False,False,False,False,False,False,True
2024-07-06,TecnoShop,Norte,IMP-006,Impresoras,8,38.08,304.64,0.046722272743650865,-1.6685958717757323,Low,Medium,5.722407938779366,2024,7,3,5,1,38.08,True,False,False,False,True,False,False,False,False
2024-01-07,MegaStore,Sur,MOU-004,Ratones,1,300.43,300.43,-1.5409277719435113,-0.8933567650647203,Low,Small,5.708537816740061,2024,1,1,6,1,300.43,False,True,False,False,False,False,False,True,False
2024-08-03,DataCenter,Norte,MON-002,Monitores,12,590.9,7090.799999999999,0.9539508697077435,-0.035023609637437315,High,Large,8.866694466006827,2024,8,3,5,1,590.9,True,False,False,False,False,False,True,False,False
2023-03-12,InnovaCorp,Centro,TEC-003,Teclados,11,578.21,6360.31,0.7271437204667204,-0.07252231085399038,High,Large,8.75798960996703,2023,3,1,6,1,578.21,False,False,False,False,False,False,False,False,True
2024-07-16,InnovaCorp,Centro,AUD-005,Audífonos,9,1048.83,9439.47,0.273529421984674,1.3181505627893733,High,Medium,9.152761046035751,2024,7,3,1,0,1048.83,False,False,True,False,False,False,False,False,False
2024-03-09,SolucionesYA,Centro,MOU-004,Ratones,12,384.38,4612.5599999999995,0.9539508697077435,-0.645286160877987,Medium,Large,8.436755072244544,2024,3,1,5,1,384.37999999999994,False,False,False,False,False,False,False,True,False
